unique_trial_id,season,id,trial,task,emergence
summer_20210802-5_T1,summer,20210802-5,T1,od,10
summer_20210802-5_T2,summer,20210802-5,T2,od,3
summer_20210802-5_T3,summer,20210802-5,T3,od,10
summer_20210802-5_T4,summer,20210802-5,T4,od,1
summer_20210802-5_T5,summer,20210802-5,T5,od,17
summer_20210802-5_T6,summer,20210802-5,T6,od,21
summer_20210802-5_T7,summer,20210802-5,T7,od,1
summer_20210802-5_T8,summer,20210802-5,T8,od,1
summer_20210802-5_T9,summer,20210802-5,T9,od,69
summer_20210802-5_T10,summer,20210802-5,T10,od,35
summer_20210802-7_T1,summer,20210802-7,T1,od,22
summer_20210802-7_T3,summer,20210802-7,T3,od,15
summer_20210802-7_T4,summer,20210802-7,T4,od,15
summer_20210802-7_T5,summer,20210802-7,T5,od,19
summer_20210802-7_T6,summer,20210802-7,T6,od,15
summer_20210802-7_T7,summer,20210802-7,T7,od,41
summer_20210802-7_T8,summer,20210802-7,T8,od,14
summer_20210802-7_T9,summer,20210802-7,T9,od,34
summer_20210802-7_T10,summer,20210802-7,T10,od,0
winter_20210802-1_T1,winter,20210802-1,T1,od,7
winter_20210802-1_T2,winter,20210802-1,T2,od,18
winter_20210802-1_T3,winter,20210802-1,T3,od,18
winter_20210802-1_T4,winter,20210802-1,T4,od,19
winter_20210802-1_T5,winter,20210802-1,T5,od,39
winter_20210802-1_T6,winter,20210802-1,T6,od,12
winter_20210802-1_T7,winter,20210802-1,T7,od,31
winter_20210802-1_T8,winter,20210802-1,T8,od,1
winter_20210802-1_T9,winter,20210802-1,T9,od,10
winter_20210802-1_T10,winter,20210802-1,T10,od,0
winter_20210802-3_T1,winter,20210802-3,T1,od,4
winter_20210802-3_T2,winter,20210802-3,T2,od,13
winter_20210802-3_T3,winter,20210802-3,T3,od,31
winter_20210802-3_T4,winter,20210802-3,T4,od,2
winter_20210802-3_T5,winter,20210802-3,T5,od,5
winter_20210802-3_T6,winter,20210802-3,T6,od,9
winter_20210802-3_T7,winter,20210802-3,T7,od,2
winter_20210802-3_T8,winter,20210802-3,T8,od,32
winter_20210802-3_T9,winter,20210802-3,T9,od,7
winter_20210802-3_T10,winter,20210802-3,T10,od,8
summer_20210802-1_T1,summer,20210802-1,T1,foraging,44
summer_20210802-1_T2,summer,20210802-1,T2,foraging,116
summer_20210802-1_T3,summer,20210802-1,T3,foraging,4
summer_20210802-1_T4,summer,20210802-1,T4,foraging,32
summer_20210802-2_T1,summer,20210802-2,T1,foraging,45
summer_20210802-2_T2,summer,20210802-2,T2,foraging,7
summer_20210802-2_T3,summer,20210802-2,T3,foraging,3
summer_20210802-2_T4,summer,20210802-2,T4,foraging,2
summer_20210802-7_T1,summer,20210802-7,T1,foraging,19
summer_20210802-7_T3,summer,20210802-7,T3,foraging,7
summer_20210802-7_T4,summer,20210802-7,T4,foraging,5
summer_20210803-3_T1,summer,20210803-3,T1,foraging,57
summer_20210803-3_T2,summer,20210803-3,T2,foraging,1
summer_20210803-3_T3,summer,20210803-3,T3,foraging,1
summer_20210803-3_T4,summer,20210803-3,T4,foraging,1
summer_20210802-8_T1,summer,20210802-8,T1,foraging,20
summer_20210802-8_T3,summer,20210802-8,T3,foraging,30
summer_20210802-8_T4,summer,20210802-8,T4,foraging,6
summer_20210803-1_T1,summer,20210803-1,T1,foraging,3
summer_20210803-1_T2,summer,20210803-1,T2,foraging,6
summer_20210803-1_T3,summer,20210803-1,T3,foraging,11
summer_20210803-1_T4,summer,20210803-1,T4,foraging,1
summer_20210803-4_T2,summer,20210803-4,T2,foraging,13
summer_20210803-4_T3,summer,20210803-4,T3,foraging,16
summer_20210803-4_T4,summer,20210803-4,T4,foraging,44
summer_20210802-5_T1,summer,20210802-5,T1,foraging,10
summer_20210802-5_T2,summer,20210802-5,T2,foraging,119
summer_20210802-5_T3,summer,20210802-5,T3,foraging,79
summer_20210802-5_T4,summer,20210802-5,T4,foraging,49
summer_20210802-3_T1,summer,20210802-3,T1,foraging,13
summer_20210802-3_T2,summer,20210802-3,T2,foraging,7
summer_20210802-3_T3,summer,20210802-3,T3,foraging,14
summer_20210802-3_T4,summer,20210802-3,T4,foraging,1
winter_20200804-2_T1,winter,20200804-2,T1,foraging,32
winter_20200804-2_T3,winter,20200804-2,T3,foraging,95
winter_20201103-4_T1,winter,20201103-4,T1,foraging,51
winter_20201106-1_T1,winter,20201106-1,T1,foraging,59
winter_20201106-1_T2,winter,20201106-1,T2,foraging,1
winter_20201106-1_T3,winter,20201106-1,T3,foraging,1
winter_20201106-1_T4,winter,20201106-1,T4,foraging,1
winter_20210215-1_T1,winter,20210215-1,T1,foraging,1
winter_20210215-1_T3,winter,20210215-1,T3,foraging,1
summer_20210802-4_T1,summer,20210802-4,T1,foraging,46
summer_20210802-4_T2,summer,20210802-4,T2,foraging,0
summer_20210802-4_T3,summer,20210802-4,T3,foraging,0
summer_20210802-4_T4,summer,20210802-4,T4,foraging,23
summer_20210802-6_T1,summer,20210802-6,T1,foraging,8
summer_20210802-6_T2,summer,20210802-6,T2,foraging,1
summer_20210802-6_T3,summer,20210802-6,T3,foraging,0
summer_20210802-6_T4,summer,20210802-6,T4,foraging,1
winter_20201104-1_T1,winter,20201104-1,T1,cue,93
winter_20201104-1_T2,winter,20201104-1,T2,cue,64
winter_20201104-1_T3,winter,20201104-1,T3,cue,96
winter_20201104-1_T4,winter,20201104-1,T4,cue,0
winter_20201104-1_T5,winter,20201104-1,T5,cue,10
winter_20201104-1_T6,winter,20201104-1,T6,cue,7
winter_20201104-1_T7,winter,20201104-1,T7,cue,0
winter_20201104-1_T8,winter,20201104-1,T8,cue,0
winter_20201104-1_T9,winter,20201104-1,T9,cue,0
winter_20201104-1_T10,winter,20201104-1,T10,cue,0
winter_20200625-3_T1,winter,20200625-3,T1,cue,5
winter_20200625-3_T2,winter,20200625-3,T2,cue,2
winter_20200625-3_T3,winter,20200625-3,T3,cue,1
winter_20200625-3_T4,winter,20200625-3,T4,cue,1
winter_20200625-3_T5,winter,20200625-3,T5,cue,1
winter_20200625-3_T6,winter,20200625-3,T6,cue,1
winter_20200625-3_T7,winter,20200625-3,T7,cue,6
winter_20200625-3_T8,winter,20200625-3,T8,cue,4
winter_20200625-3_T9,winter,20200625-3,T9,cue,112
winter_20200625-3_T10,winter,20200625-3,T10,cue,23
winter_20200804-2_T1,winter,20200804-2,T1,cue,64
winter_20200804-2_T2,winter,20200804-2,T2,cue,100
winter_20200804-2_T3,winter,20200804-2,T3,cue,82
winter_20200804-2_T4,winter,20200804-2,T4,cue,68
winter_20200804-2_T5,winter,20200804-2,T5,cue,10
winter_20200804-2_T6,winter,20200804-2,T6,cue,10
winter_20200804-2_T7,winter,20200804-2,T7,cue,10
winter_20200804-2_T8,winter,20200804-2,T8,cue,72
winter_20201031-1_T1,winter,20201031-1,T1,cue,68
winter_20201031-1_T2,winter,20201031-1,T2,cue,40
winter_20201031-1_T3,winter,20201031-1,T3,cue,3
winter_20201031-1_T4,winter,20201031-1,T4,cue,2
winter_20201031-1_T5,winter,20201031-1,T5,cue,0
winter_20201031-1_T6,winter,20201031-1,T6,cue,2
winter_20201031-1_T7,winter,20201031-1,T7,cue,0
winter_20201031-1_T8,winter,20201031-1,T8,cue,0
winter_20201101-1_T1,winter,20201101-1,T1,cue,27
winter_20201101-1_T2,winter,20201101-1,T2,cue,0
winter_20201101-1_T3,winter,20201101-1,T3,cue,0
winter_20201101-1_T4,winter,20201101-1,T4,cue,0
winter_20201103-1_T1,winter,20201103-1,T1,cue,102
winter_20201103-1_T2,winter,20201103-1,T2,cue,7
winter_20201103-1_T6,winter,20201103-1,T6,cue,69
winter_20201103-1_T8,winter,20201103-1,T8,cue,5
winter_20201103-2 _T2,winter,20201103-2,T2,cue,12
winter_20201103-2 _T3,winter,20201103-2,T3,cue,53
winter_20201103-2 _T4,winter,20201103-2,T4,cue,48
winter_20201103-2 _T5,winter,20201103-2,T5,cue,17
winter_20201103-2 _T6,winter,20201103-2,T6,cue,13
winter_20201103-2 _T7,winter,20201103-2,T7,cue,9
winter_20201103-2 _T8,winter,20201103-2,T8,cue,58
winter_20201103-3_T1,winter,20201103-3,T1,cue,13
winter_20201103-3_T2,winter,20201103-3,T2,cue,22
winter_20201103-3_T3,winter,20201103-3,T3,cue,80
winter_20201103-3_T4,winter,20201103-3,T4,cue,35
winter_20201103-3_T5,winter,20201103-3,T5,cue,16
winter_20201103-3_T6,winter,20201103-3,T6,cue,36
winter_20201103-3_T7,winter,20201103-3,T7,cue,30
winter_20201103-3_T8,winter,20201103-3,T8,cue,47
winter_20201103-3_T9,winter,20201103-3,T9,cue,22
winter_20201103-3_T10,winter,20201103-3,T10,cue,28
winter_20201103-4_T1,winter,20201103-4,T1,cue,3
winter_20201103-4_T2,winter,20201103-4,T2,cue,10
winter_20201103-4_T3,winter,20201103-4,T3,cue,0
winter_20201103-4_T5,winter,20201103-4,T5,cue,0
winter_20201103-4_T6,winter,20201103-4,T6,cue,86
winter_20201103-4_T7,winter,20201103-4,T7,cue,0
winter_20201103-4_T8,winter,20201103-4,T8,cue,0
winter_20201103-4_T9,winter,20201103-4,T9,cue,0
winter_20201103-4_T10,winter,20201103-4,T10,cue,0
winter_20201103-5_T1,winter,20201103-5,T1,cue,7
winter_20201103-5_T2,winter,20201103-5,T2,cue,13
winter_20201103-5_T3,winter,20201103-5,T3,cue,21
winter_20201103-5_T4,winter,20201103-5,T4,cue,15
winter_20201103-5_T5,winter,20201103-5,T5,cue,18
winter_20201103-5_T6,winter,20201103-5,T6,cue,40
winter_20201103-5_T7,winter,20201103-5,T7,cue,9
winter_20201103-5_T8,winter,20201103-5,T8,cue,34
winter_20201103-5_T9,winter,20201103-5,T9,cue,12
winter_20201103-5_T10,winter,20201103-5,T10,cue,58
winter_20201106-1_T1,winter,20201106-1,T1,cue,99
winter_20201106-1_T2,winter,20201106-1,T2,cue,63
winter_20201106-1_T4,winter,20201106-1,T4,cue,10
winter_20201106-1_T5,winter,20201106-1,T5,cue,1
winter_20201106-1_T6,winter,20201106-1,T6,cue,0
winter_20201106-1_T7,winter,20201106-1,T7,cue,109
winter_20201106-1_T8,winter,20201106-1,T8,cue,12
winter_20201106-1_T9,winter,20201106-1,T9,cue,20
winter_20201106-1_T10,winter,20201106-1,T10,cue,59
winter_20201106-2_T1,winter,20201106-2,T1,cue,96
winter_20201106-2_T3,winter,20201106-2,T3,cue,17
winter_20201106-2_T4,winter,20201106-2,T4,cue,16
winter_20201106-2_T5,winter,20201106-2,T5,cue,56
winter_20201106-2_T8,winter,20201106-2,T8,cue,52
winter_20210215-1_T1,winter,20210215-1,T1,cue,8
winter_20210215-1_T2,winter,20210215-1,T2,cue,1
winter_20210215-1_T3,winter,20210215-1,T3,cue,39
winter_20210215-1_T5,winter,20210215-1,T5,cue,5
winter_20210215-1_T6,winter,20210215-1,T6,cue,4
winter_20210215-1_T7,winter,20210215-1,T7,cue,7
winter_20210215-1_T8,winter,20210215-1,T8,cue,1
winter_20210215-1_T9,winter,20210215-1,T9,cue,58
winter_20210302-1_T1,winter,20210302-1,T1,cue,113
winter_20210302-1_T2,winter,20210302-1,T2,cue,2
winter_20210302-1_T3,winter,20210302-1,T3,cue,1
winter_20210302-1_T4,winter,20210302-1,T4,cue,75
winter_20210302-1_T5,winter,20210302-1,T5,cue,6
winter_20210302-1_T6,winter,20210302-1,T6,cue,55
winter_20210302-1_T7,winter,20210302-1,T7,cue,0
winter_20210302-1_T8,winter,20210302-1,T8,cue,0
winter_20210302-1_T9,winter,20210302-1,T9,cue,0
winter_20210302-1_T10,winter,20210302-1,T10,cue,0
winter_20240223-1_T1,winter,20240223-1,T1,cue,11
winter_20240223-1_T2,winter,20240223-1,T2,cue,28
winter_20240223-1_T3,winter,20240223-1,T3,cue,10
winter_20240223-1_T4,winter,20240223-1,T4,cue,3
winter_20240223-1_T5,winter,20240223-1,T5,cue,1
winter_20240223-1_T6,winter,20240223-1,T6,cue,54
winter_20240223-1_T7,winter,20240223-1,T7,cue,21
winter_20240223-1_T8,winter,20240223-1,T8,cue,2
winter_20240225-3_T2,winter,20240225-3,T2,cue,3
winter_20240225-3_T3,winter,20240225-3,T3,cue,11
winter_20240225-3_T4,winter,20240225-3,T4,cue,27
winter_20240225-3_T5,winter,20240225-3,T5,cue,11
winter_20240225-3_T6,winter,20240225-3,T6,cue,4
winter_20240225-3_T7,winter,20240225-3,T7,cue,5
winter_20240225-3_T8,winter,20240225-3,T8,cue,7
winter_20240225-3_T9,winter,20240225-3,T9,cue,4
winter_20240225-3_T10,winter,20240225-3,T10,cue,2
winter_20240225-4_T3,winter,20240225-4,T3,cue,7
winter_20240225-4_T4,winter,20240225-4,T4,cue,1
winter_20240225-4_T5,winter,20240225-4,T5,cue,1
winter_20240225-4_T6,winter,20240225-4,T6,cue,3
winter_20240225-4_T7,winter,20240225-4,T7,cue,56
winter_20240225-4_T9,winter,20240225-4,T9,cue,16
winter_20240228-1_T1,winter,20240228-1,T1,cue,0
winter_20240228-1_T2,winter,20240228-1,T2,cue,2
winter_20240228-1_T3,winter,20240228-1,T3,cue,0
winter_20240228-1_T4,winter,20240228-1,T4,cue,1
winter_20240228-1_T5,winter,20240228-1,T5,cue,0
winter_20240228-1_T6,winter,20240228-1,T6,cue,0
winter_20240228-1_T8,winter,20240228-1,T8,cue,4
winter_20240228-1_T9,winter,20240228-1,T9,cue,1
winter_20240228-1_T10,winter,20240228-1,T10,cue,1
winter_20240228-2_T1,winter,20240228-2,T1,cue,4
winter_20240228-2_T2,winter,20240228-2,T2,cue,16
winter_20240228-2_T3,winter,20240228-2,T3,cue,30
winter_20240228-2_T4,winter,20240228-2,T4,cue,41
winter_20240228-2_T5,winter,20240228-2,T5,cue,60
winter_20240228-2_T6,winter,20240228-2,T6,cue,9
winter_20240228-2_T7,winter,20240228-2,T7,cue,5
winter_20240228-2_T10,winter,20240228-2,T10,cue,17
winter_20240228-3_T1,winter,20240228-3,T1,cue,4
winter_20240228-3_T2,winter,20240228-3,T2,cue,8
winter_20240228-3_T3,winter,20240228-3,T3,cue,12
winter_20240228-3_T4,winter,20240228-3,T4,cue,72
winter_20240228-3_T5,winter,20240228-3,T5,cue,25
winter_20240228-3_T6,winter,20240228-3,T6,cue,69
winter_20240228-3_T7,winter,20240228-3,T7,cue,72
winter_20240228-3_T8,winter,20240228-3,T8,cue,109
winter_20240228-3_T9,winter,20240228-3,T9,cue,75
winter_20240303-1_T1,winter,20240303-1,T1,cue,11
winter_20240303-1_T2,winter,20240303-1,T2,cue,2
winter_20240303-1_T7,winter,20240303-1,T7,cue,11
winter_20240303-1_T8,winter,20240303-1,T8,cue,120
winter_20240303-1_T9,winter,20240303-1,T9,cue,1
winter_20240303-2_T1,winter,20240303-2,T1,cue,1
winter_20240303-2_T2,winter,20240303-2,T2,cue,0
winter_20240303-2_T3,winter,20240303-2,T3,cue,3
winter_20240303-2_T4,winter,20240303-2,T4,cue,1
winter_20240303-2_T5,winter,20240303-2,T5,cue,1
winter_20240303-2_T6,winter,20240303-2,T6,cue,89
winter_20240303-2_T7,winter,20240303-2,T7,cue,3
winter_20240303-2_T8,winter,20240303-2,T8,cue,1
winter_20240303-2_T9,winter,20240303-2,T9,cue,2
winter_20240303-3_T1,winter,20240303-3,T1,cue,10
winter_20240303-3_T2,winter,20240303-3,T2,cue,6
spring_20240520-1_T1,spring,20240520-1,T1,cue,7
spring_20240520-1_T2,spring,20240520-1,T2,cue,2
spring_20240520-1_T3,spring,20240520-1,T3,cue,1
spring_20240520-1_T4,spring,20240520-1,T4,cue,71
spring_20240520-1_T5,spring,20240520-1,T5,cue,0
spring_20240520-1_T6,spring,20240520-1,T6,cue,0
spring_20240520-1_T7,spring,20240520-1,T7,cue,2
spring_20240520-1_T8,spring,20240520-1,T8,cue,0
spring_20240520-1_T9,spring,20240520-1,T9,cue,0
spring_20240520-1_T10,spring,20240520-1,T10,cue,46
spring_20240520-2_T1,spring,20240520-2,T1,cue,6
spring_20240520-2_T2,spring,20240520-2,T2,cue,5
spring_20240520-2_T3,spring,20240520-2,T3,cue,1
spring_20240520-2_T4,spring,20240520-2,T4,cue,30
spring_20240520-2_T5,spring,20240520-2,T5,cue,8
spring_20240520-2_T6,spring,20240520-2,T6,cue,63
spring_20240520-2_T7,spring,20240520-2,T7,cue,8
spring_20240520-2_T8,spring,20240520-2,T8,cue,6
spring_20240520-2_T9,spring,20240520-2,T9,cue,40
spring_20240520-2_T10,spring,20240520-2,T10,cue,12
spring_20240520-3_T1,spring,20240520-3,T1,cue,3
spring_20240520-3_T2,spring,20240520-3,T2,cue,2
spring_20240520-3_T3,spring,20240520-3,T3,cue,1
spring_20240520-3_T4,spring,20240520-3,T4,cue,83
spring_20240520-3_T5,spring,20240520-3,T5,cue,2
spring_20240520-3_T6,spring,20240520-3,T6,cue,1
spring_20240520-3_T7,spring,20240520-3,T7,cue,1
spring_20240520-3_T8,spring,20240520-3,T8,cue,7
spring_20240520-3_T9,spring,20240520-3,T9,cue,3
spring_20240520-3_T10,spring,20240520-3,T10,cue,1
spring_20240520-4_T1,spring,20240520-4,T1,cue,115
spring_20240520-4_T3,spring,20240520-4,T3,cue,8
spring_20240520-4_T4,spring,20240520-4,T4,cue,86
spring_20240520-4_T5,spring,20240520-4,T5,cue,35
spring_20240520-4_T6,spring,20240520-4,T6,cue,0
spring_20240520-4_T7,spring,20240520-4,T7,cue,55
spring_20240520-4_T8,spring,20240520-4,T8,cue,8
spring_20240520-4_T9,spring,20240520-4,T9,cue,10
spring_20240520-4_T10,spring,20240520-4,T10,cue,42
spring_20240524-1_T1,spring,20240524-1,T1,cue,1
spring_20240524-1_T2,spring,20240524-1,T2,cue,1
spring_20240524-1_T3,spring,20240524-1,T3,cue,0
spring_20240524-1_T4,spring,20240524-1,T4,cue,0
